date,season,home,neutral,playoff,team1,team2,result_team1,result_team2,sets_team1,sets_team2,points_team1,points_team2,elo_start_team1,elo_start_team2,probability_team1,probability_team2,elo_end_team1,elo_end_team2
4/2/2021,2021,GMU,0,0,Penn,GMU,,,,,,,,,,,,
4/3/2021,2021,UH,0,0,LBSU,UH,,,,,,,,,,,,
4/3/2021,2021,GCU,0,0,UCLA,GCU,,,,,,,,,,,,
4/3/2021,2021,UCI,0,0,UCSB,UCI,,,,,,,,,,,,
4/3/2021,2021,SFU,0,0,NJIT,SFU,,,,,,,,,,,,
4/3/2021,2021,Stanford,0,0,Concordia,Stanford,,,,,,,,,,,,
4/3/2021,2021,UCSD,0,0,CSUN,UCSD,,,,,,,,,,,,
4/3/2021,2021,McKendree,0,0,Ball,McKendree,,,,,,,,,,,,
4/3/2021,2021,Sacred,0,0,Charleston,Sacred,,,,,,,,,,,,
4/3/2021,2021,GMU,0,0,Penn,GMU,,,,,,,,,,,,
4/6/2021,2021,UCLA,0,0,BYU,UCLA,,,,,,,,,,,,
4/6/2021,2021,Sacred,0,0,SFCB,Sacred,,,,,,,,,,,,
4/6/2021,2021,Sacred,0,0,SFCB,Sacred,,,,,,,Double header,,,,,
4/9/2021,2021,CSUN,0,0,UH,CSUN,,,,,,,,,,,,
4/9/2021,2021,UCSD,0,0,LBSU,UCSD,,,,,,,,,,,,
4/9/2021,2021,UCLA,0,0,BYU,UCLA,,,,,,,,,,,,
4/9/2021,2021,NJIT,0,0,GMU,NJIT,,,,,,,,,,,,
4/9/2021,2021,USC,0,0,GCU,USC,,,,,,,,,,,,
4/9/2021,2021,Charleston,0,0,Penn,Charleston,,,,,,,,,,,,
4/9/2021,2021,Sacred,0,0,SFU,Sacred,,,,,,,,,,,,
4/10/2021,2021,CSUN,0,0,UH,CSUN,,,,,,,,,,,,
4/10/2021,2021,UCLA,0,0,BYU,UCLA,,,,,,,,,,,,
4/10/2021,2021,LBSU,0,0,UCSD,LBSU,,,,,,,,,,,,
4/10/2021,2021,NJIT,0,0,GMU,NJIT,,,,,,,,,,,,
4/10/2021,2021,USC,0,0,GCU,USC,,,,,,,,,,,,
4/10/2021,2021,Charleston,0,0,Penn,Charleston,,,,,,,,,,,,
4/10/2021,2021,Sacred,0,0,SFU,Sacred,,,,,,,,,,,,
4/16/2021,2021,UH,0,0,UCI,UH,,,,,,,,,,,,
4/16/2021,2021,CSUN,0,0,LBSU,CSUN,,,,,,,,,,,,
4/16/2021,2021,GCU,0,0,Concordia,GCU,,,,,,,,,,,,
4/17/2021,2021,UH,0,0,UCI,UH,,,,,,,,,,,,
4/17/2021,2021,LBSU,0,0,CSUN,LBSU,,,,,,,,,,,,
4/17/2021,2021,GCU,0,0,Concordia,GCU,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
