date,season,home,neutral,playoff,team1,team2,result_team1,result_team2,sets_team1,sets_team2,points_team1,points_team2,elo_start_team1,elo_start_team2,elo_adjusted_team1,elo_adjusted_team2,probability_team1,probability_team2,elo_end_team1,elo_end_team2
2/27/2021,2021,Queens,0,0,Tusculum,Queens,0,1,2,3,98,110,,,,,,,,
2/28/2021,2021,Erskine,0,0,Barton,Erskine,0,1,0,3,64,75,,,,,,,,
2/28/2021,2021,Emmanuel,0,0,Olive,Emmanuel,1,0,3,2,114,108,,,,,,,,
3/1/2021,2021,Emmanuel,0,0,Barton,Emmanuel,0,1,2,3,101,112,,,,,,,,
3/1/2021,2021,Erskine,0,0,Olive,Erskine,1,0,3,0,75,48,,,,,,,,
3/2/2021,2021,UCLA,0,0,Concordia,UCLA,0,1,0,3,57,75,,,,,,,,
3/2/2021,2021,Limestone,0,0,Lees,Limestone,0,1,0,3,59,75,,,,,,,,
3/3/2021,2021,UCSB,0,0,UCSD,UCSB,0,1,1,3,93,101,,,,,,,,
3/3/2021,2021,Pepperdine,0,0,Stanford,Pepperdine,0,1,0,3,57,75,,,,,,,,
3/3/2021,2021,Belmont,0,0,Queens,Belmont,1,0,3,0,75,61,,,,,,,,
3/3/2021,2021,Greenville,0,0,King,Greenville,0,1,0,3,67,76,,,,,,,,
3/4/2021,2021,Concordia,0,0,BYU,Concordia,1,0,3,0,75,58,,,,,,,,
3/4/2021,2021,UCSB,0,0,UCSD,UCSB,0,1,0,3,56,75,,,,,,,,
3/4/2021,2021,Greenville,0,0,Emmanuel,Greenville,0,1,0,3,54,75,,,,,,,,
3/4/2021,2021,LMU,0,0,Erskine,LMU,0,1,0,3,60,76,,,,,,,,
3/5/2021,2021,USC,0,0,BYU,USC,1,0,3,0,75,64,,,,,,,,
3/5/2021,2021,UCLA,0,0,Stanford,UCLA,0,1,1,3,74,98,,,,,,,,
3/5/2021,2021,GMU,0,0,NJIT,GMU,1,0,3,1,96,90,,,,,,,,
3/5/2021,2021,Lewis,0,0,Ball,Lewis,0,1,0,3,61,75,,,,,,,,
3/5/2021,2021,Penn,0,0,Charleston,Penn,0,1,0,3,55,75,,,,,,,,
3/5/2021,2021,SFU,0,0,Sacred,SFU,0,1,1,3,83,102,,,,,,,,
3/5/2021,2021,Barton,0,0,King,Barton,0,1,1,3,107,113,,,,,,,,
