short_name,full_name,division,mascot,conference,elo,location,eligible,twitter,color,ret_2023,ret_2022,ret_2021
MVC,Missouri Valley,NAIA,Vikings,NAIA,1373,"39.10850085848182, -93.18987364525856",0,@MVCAthletics,#962599,1,1,1
MVNU,Mount Vernon Nazarene,NAIA,Cougars,NAIA,1373,"40.37266012753464, -82.46830521946504",0,@mvnumvball,,1,1,1
Nazareth,Nazareth,D-III,Golden Flyers,D-III,1419,"43.101628145741294, -77.51857696231474",0,@NazAthletics,,1,1,1
NCAC,North Charleston Athletic Center,n/a,n/a,n/a,1500.0,"32.89728794009507, -80.0213980769004",0,,,,,
Neumann,Neumann,D-III,Knights,D-III,1419,"39.87521060111818, -75.4428721669722",0,,,1,1,1
NGU,North Greenville,D-II,Crusaders,CC,1836.400738663017,"35.069533766249734, -82.37309708210283",1,@NGU_MVB,#c00000,0.34,0.41,0.57
Nichols,Nichols,D-III,Bison,D-III,1419,"42.04241879910383, -71.92939413800686",0,@ncbison,,1,1,1
NJCU,New Jersey City,D-III,Gothic Knights,D-III,1419,"40.7127279879083, -74.08873883959045",0,,,1,1,1
NJIT,NJIT,D-I,Highlanders,EIVA,2019.7562534746737,"40.74226308492056, -74.1804250697891",1,@njitMVB,#d9232e,0.47,0.45,0.26
Norbert,St. Norbert,D-III,Green Knights,D-III,1419,"44.442076059728834, -88.06813597045847",0,,,1,1,1
North Central,North Central,D-III,Cardinals,D-III,1419,"41.769802215602205, -88.14426296972064",0,,,1,1,1
North Park,North Park,D-III,Vikings,D-III,1419,"41.97507802707824, -87.70908385315052",0,,,1,1,1
NVU,Northern Vermont–Johnson,D-III,Badgers,D-III,1419,"44.64170222739891, -72.67127077254793",0,@NVUBadgers,,1,1,1
NYU,NYU,D-III,Violets,D-III,1419,"40.69426223581706, -73.98649046111277",0,,,1,1,1
Ohio,Ohio State,D-I,Buckeyes,MIVA,2176.2556108233957,"40.013659150194385, -83.02835385096364",1,@OhioStateMVB,#ce0f3d,0.53,0.68,0.45
Olivet,Olivet,D-III,Comets,D-III,1419,"42.43590104499605, -84.926079186222",0,@OlivetAthletics,,1,1,1
OUAZ,Ottawa University-Arizona,NAIA,Spirit,NAIA,1373,"33.62841394840269, -112.37179237613786",0,,,1,1,1
OUKA,Ottawa University-Kansas,NAIA,Braves,NAIA,1373,"38.60167971936256, -95.26329401980554",0,@ottawamens_vb,#ffbe29,1,1,1
Park,Park,NAIA,Pirates,NAIA,1373,"33.29997589547613, -111.62490849737839",0,,,1,1,1
Penn,Penn State,D-I,Nittany Lions,EIVA,2187.1713918287405,"40.79587992368765, -77.86941460188768",1,@PennStateMVBALL,#002D62,0.17,0.03,0.64
Penn Altoona,Penn State Altoona,D-III,Nittany Lions,D-III,1419,"40.54129159543888, -78.4106558057087",0,,,1,1,1
Penn Behrend,Penn State Erie,D-III,Behrend Lions,D-III,1419,"42.12012061305278, -79.97809207472905",0,,,1,1,1
Pepperdine,Pepperdine ,D-I,Waves,MPSF,2090.761613729352,"34.03852398415157, -118.70978524990564",1,@PeppVolleyball,#0a2240,0.55,0.28,0.6
PFW,Purdue Fort Wayne,D-I,Mastodons,MIVA,2006.9146337334155,"41.11944698196785, -85.10730666554868",1,@MastodonMVB,#c28e0e,0.34,0.47,0.3
Pine Manor,Pine Manor,D-III,Gators,D-III,1419,"42.32090975390333, -71.15797182073103",0,,,1,1,1
Pratt,Pratt Institute,D-III,Cannoneers,D-III,1419,"40.690913899534586, -73.96207617419944",0,,,1,1,1
Princeton,Princeton,D-I,Tigers,EIVA,2031.4269780423754,"40.345617856393154, -74.65879610189774",1,@PrincetonVolley,#ff6000,0.38,0.36,0
PUC,Pacific Union,NAIA,Pioneers,NAIA,1373,"38.56880920125109, -122.44117319522668",0,,#1E5732,,,
Queens,Queens,D-I,Royals,MIVA,1913.8199787811252,"35.18849968417609, -80.83507306216742",1,@QueensAthletics,#00205b,0.3,0.61,0.43
Quincy,Quincy,D-II,Hawks,MIVA,1737.3802819826274,"39.9384182056001, -91.38529127307119",1,@QUMVB,#591f00,0.95,0.64,0.37
Ramapo,Ramapo,D-III,Roadrunners,D-III,1419,"41.08237213924209, -74.17750497174502",0,,,1,1,1
Randolph Macon,Randolph-Macon,D-III,Yellow Jackets,D-III,1419,"37.762889757977874, -77.47861657454743",0,@RMCathletics,,1,1,1
Redeemer,Redeemer,NCCAA,Royals,NCCAA,1373,"43.209902076124266, -79.94902266955728",0,,#00243a,,,
Regis,Regis College,D-III,Pride,D-III,1419,"42.350914973456305, -71.3074520630383",0,,,1,1,1
Reinhardt,Reinhardt,NAIA,Eagles,NAIA,1373,"34.318858281323614, -84.54888269700757",0,@RUMensVball,#002E5C,1,1,1
Rio Grande,Rio Grande,NAIA,RedStorm,NAIA,1373,"38.879355354541794, -82.37738600100425",0,@rioredstorm,#b5121b,1,1,1
Rivier,Rivier,D-III,Raiders,D-III,1419,"42.73813288937704, -71.45234267759334",0,,,1,1,1
Roanoke,Roanoke College,D-III,Maroons,D-III,1419,"37.297042852881106, -80.05649072048179",0,,#8b1e41,,,
Rock Hill,Rock Hill Center,n/a,n/a,n/a,1500.0,"34.93210624429934, -81.02943811057543",0,,,1,1,1
Rockford,Rockford,D-III,Regents,D-III,1419,"42.269156247760925, -89.02165338002247",0,,,1,1,1
Rockhurst,Rockhurst,D-II,Hawks,IVA,1616.9000551176237,"39.032401175725354, -94.57071815952074",1,,,,,
Roosevelt,Roosevelt University,D-II,Lakers,IVA,1365.6693280035006,"41.875450110556656, -87.62564453558245",1,,#00843d,,,
Rosemont,Rosemont,D-III,Ravens,D-III,1419,"40.033736490844156, -75.33160520871527",0,,,1,1,1
Rutgers,Rutgers–Newark,D-III,Scarlet Raiders,D-III,1419,"40.73916807034423, -74.17387951111192",0,@ScarletRaiders,,1,1,1
RWU,Roberts Wesleyan,D-II,Redhawks,ECC,1629.589904661799,"43.126044678538534, -77.79743528628295",1,,#9e1b2b,,,
Sage,Russell Sage,D-III,Gators,D-III,1419,"42.65142294260737, -73.78257340262616",0,@sagemvb,,1,1,1
Saint Vincent,Saint Vincent,D-III,Bearcats,D-III,1419,"40.29242584013322, -79.40378787664432",0,@SVC_Bearcats,#1e5632,1,1,1
Sarah,Sarah Lawrence,D-III,Gryphons,D-III,1419,"40.9321611226302, -73.84734653537407",0,,,1,1,1
Sask,Saskatchewan (CAN),CAN,Huskies,CAN,1419,"52.12991432255016, -106.63107432391128",0,,,,,
SFCB,St. Francis-Brooklyn,D-I,Terriers,NEC,1599.0,"40.69327473082102, -73.99260250884957",0,@SFBKMVB,#0038a8,0.22,0.56,0.17
SFU,Saint Francis,D-I,Red Flash,NEC,1900.7120270903922,"40.50452259480198, -78.64110417305858",1,@RedFlashMVB,#bd1f25,0.16,0.51,0.4
SHU,Sacred Heart,D-I,Pioneers,EIVA,1724.2608361732962,"41.21960639882194, -73.24464177304239",1,@SHUBigRed,#ce1141,0.37,0.6,0.59
Simpson,Simpson,NAIA,Red Hawks,NAIA,1373,"40.61209004991175, -122.33161641676587",0,,,,,
SJ Fisher,St. John Fisher,D-III,Cardinals,D-III,1419,"43.11613765507209, -77.50989152025222",0,@SJFCVB,,1,1,1
SJC Brooklyn,St. Joseph's-Brooklyn,D-III,Bears,D-III,1419,"40.690994511103455, -73.9696828545863",0,,,1,1,1
SJC Long Island,St. Joseph's-Long Island,D-III,Golden Eagles,D-III,1419,"40.7764487093655, -73.0263200930275",0,,,1,1,1
SMWC,St. Mary-of-the-Woods,NAIA,Pomeroys,NAIA,1373,"39.50869681663771, -87.4645835107897",0,,#0c2340,,,
Springfield,Springfield,D-III,Pride,D-III,1419,"42.10483126433112, -72.55557081090733",0,@SpfldCol_MVB,,1,1,1
St Andrews,St. Andrews,NAIA,Knights,NAIA,1373,"34.745921130860445, -79.47888492926597",0,@SAUKnights,,1,1,1
STA,St. Thomas Aquinas,D-II,Spartans,ECC,1818.080165836843,"41.13613579394553, -74.16278473311786",1,,#621D21,,,
Stanford,Stanford,D-I,Cardinal,MPSF,2146.6446986965707,"37.42962789960126, -122.16063330196073",1,@StanfordMVB,#8c1515,0.01,0.11,0.68
