date,season,home,neutral,playoff,team1,team2,result_team1,result_team2,sets_team1,sets_team2,points_team1,points_team2,elo_start_team1,elo_start_team2,probability_team1,probability_team2,elo_end_team1,elo_end_team2
2/19/2021,2021,Charleston,0,0,NJIT,Charleston,1,0,3,1,96,77,1358.6384084835727,1345.6038127632569,0.5187494953491689,0.48125050465083113,1373.0759236230977,1331.166297623732
2/19/2021,2021,GMU,0,0,SFU,GMU,0,1,0,3,46,75,1231.3238008200865,1390.8513337207116,0.2853014921831346,0.7146985078168654,1222.7647560545925,1399.4103784862057
2/19/2021,2021,Lewis,0,0,PFW,Lewis,0,1,1,3,83,86,1353.3013459888055,1390.942233047825,0.4460413551079598,0.5539586448920403,1339.9201053355666,1404.323473701064
2/19/2021,2021,McKendree,0,0,Quincy,McKendree,0,1,0,3,59,75,1302.9391323078523,1423.1647763916326,0.33357176280656425,0.6664282371934358,1292.9319794236553,1433.1719292758296
2/20/2021,2021,BYU,0,0,GCU,BYU,0,1,2,3,112,116,1335.8709406887372,1396.9279259556026,0.41302544739512936,0.5869745526048706,1323.4801772668832,1409.3186893774566
2/20/2021,2021,USC,0,0,UCLA,USC,1,0,3,1,109,103,1362.7396811549113,1349.7360869213367,0.5187049432105267,0.4812950567894733,1377.1785328585954,1335.2972352176525
2/20/2021,2021,Stanford,0,0,Pepperdine,Stanford,1,0,3,1,98,91,1362.9350286607737,1334.9068266001314,0.5402485516262225,0.4597514483737774,1376.727572111987,1321.114283148918
2/20/2021,2021,Charleston,0,0,NJIT,Charleston,1,0,3,1,98,84,1373.0759236230977,1331.166297623732,0.5600219648115459,0.43997803518845413,1386.2752646787512,1317.9669565680783
2/20/2021,2021,Ball,0,0,Lindenwood,Ball,0,1,0,3,56,75,1318.6901618673037,1395.8557343776404,0.39074047289738806,0.609259527102612,1306.967947680382,1407.5779485645621
2/20/2021,2021,GMU,0,0,SFU,GMU,0,1,0,3,53,75,1222.7647560545925,1399.4103784862057,0.26564066726278884,0.7343593327372112,1214.7955360367089,1407.3795985040892
2/20/2021,2021,Sacred,0,0,Penn,Sacred,1,0,3,0,75,45,1393.274403051323,1319.0474329928884,0.6052251145706183,0.39477488542938177,1405.1176496142043,1307.204186430007
2/20/2021,2021,Lewis,0,0,PFW,Lewis,0,1,2,3,106,118,1339.9201053355666,1404.323473701064,0.4083632890930554,0.5916367109069445,1327.669206662775,1416.5743723738556
2/20/2021,2021,Ohio,0,0,Loyola,Ohio,0,1,2,3,108,105,1442.0308776395627,1303.3591065898229,0.6896019159865658,0.31039808401343416,1421.3428201599659,1324.0471640694198
2/21/2021,2021,UCI,0,0,Hawaii,UCI,1,0,3,1,97,71,1350,1350,0.5,0.5,1365.0,1335.0
