date,season,home,n,p,t1,t2,r_t1,r_t2,s_t1,s_t2,p_t1,p_t2,s1_t1,s1_t2,s2_t1,s2_t2,s3_t1,s3_t2,s4_t1,s4_t2,s5_t1,s5_t2,elo_start_team1,elo_start_team2,elo_adjusted_team1,elo_adjusted_team2,probability_team1,probability_team2,elo_end_team1,elo_end_team2
1/21/2020 0:00:00,2020,King,0,0,Hawaii,King,1,0,3,0,,,,,,,,,,,,,1613.5591929471175,1511.1972465183069,1595.5591929471175,1561.1972465183069,0.5492902094438564,0.4507097905561437,1632.0804866638018,1497.6759528016225
1/21/2020 0:00:00,2020,Geneva,0,0,Alderson,Geneva,0,1,0,3,,,,,,,,,,,,,1500,1419,1500,1469,0.544494573083008,0.4555054269169921,1488.6651628075097,1435.3348371924903
1/21/2020 0:00:00,2020,Limestone,0,0,Erskine,Limestone,0,1,0,3,,,,,,,,,,,,,1505.6939253696976,1517.4904706494724,1505.6939253696976,1567.4904706494724,0.41199372283424684,0.5880062771657532,1498.3341136846702,1529.8502823344998
1/21/2020 0:00:00,2020,Olive,0,0,Belmont,Olive,0,1,0,3,,,,,,,,,,,,,1501.882200944506,1538.8525836438712,1501.882200944506,1588.8525836438712,0.3773898630656939,0.622610136934306,1495.560505052535,1550.174279535842
1/21/2020 0:00:00,2020,NGU,0,0,Emmanuel,NGU,0,1,0,3,,,,,,,,,,,,,1474.9761235828585,1524.3776970053684,1474.9761235828585,1574.3776970053684,0.36072900640398486,0.639270993596015,1469.1542533907389,1535.199567197488
1/22/2020 0:00:00,2020,UCI,0,0,BYU,UCI,1,0,3,1,,,,,,,,,,,,,1606.627321903657,1527.468873515288,1604.627321903657,1577.468873515288,0.5390047380207397,0.4609952619792603,1623.7905130963682,1515.3056823225768
1/22/2020 0:00:00,2020,Vanguard,0,0,Concordia,Vanguard,1,0,3,1,,,,,,,,,,,,,1526.1552716831964,1373,1526.1552716831964,1423,0.6442387384691769,0.35576126153082305,1540.1614428624544,1363.993828820742
1/22/2020 0:00:00,2020,Barton,0,0,Queens,Barton,0,1,2,3,,,,,,,,,,,,,1513.4831797571258,1500,1513.4831797571258,1550,0.44764073060683,0.5523592693931699,1501.7206245055877,1516.762555251538
1/23/2020 0:00:00,2020,Lindenwood,0,0,UCSD,Lindenwood,1,0,3,2,,,,,,,,,,,,,1498.36141575372,1496.843167787553,1492.36141575372,1546.843167787553,0.4222308541145508,0.5777691458854493,1517.3611567969501,1482.8434267443229
1/23/2020 0:00:00,2020,GMU,0,0,Ball,GMU,0,1,2,3,,,,,,,,,,,,,1534.845716423222,1497.8175940509884,1533.845716423222,1547.8175940509884,0.4799036838002267,0.5200963161997734,1522.115272575882,1515.5480378983284
